English,Nepali
send,पठाउनुहोस्
right,दायाँ
type,प्रकार
because,किनभने
local,स्थानिय
those,ती
using,प्रयोग
results,परिणाम
office,कार्यालय
education,शिक्षा
national,राष्ट्रिय
car,कार
design,डिजाइन
take,लिन
posted,पोस्ट
internet,इन्टरनेट
address,ठेगाना
community,समुदाय
within,भित्र
states,राज्यहरु
area,क्षेत्र
want,चाहनुहुन्छ
phone,फोन
dvd,डीभिडी
shipping,ढुवानी
reserved,आरक्षित
subject,विषय
between,बीच
forum,मंच
family,परिवार
l,एल
long,लामो
based,आधारित
w,W
code,कोड
show,देखाउनु
o,ओ
even,पनि
black,कालो
check,जाँच
special,विशेष
prices,मूल्यहरु
website,वेबसाइट
index,सूचकांक
being,जा
women,महिला
much,धेरै
sign,साइन
file,फाइल
link,लिङ्क
open,खुला
today,आज
technology,प्रविधि
south,दक्षिण
case,मामला
project,परियोजना
same,एउटै
pages,पृष्ठ
uk,बेलायत
version,संस्करण
section,खण्ड
own,आफ्नै
found,फेला
sports,खेल
house,घर
related,सम्बन्धित
security,सुरक्षा
both,दुवै
g,G
county,काउन्टी
american,अमेरिकी
photo,फोटो
game,खेल
members,सदस्य
power,शक्ति
while,जबकि
care,हेरविचार
network,नेटवर्क
down,तल
computer,कम्प्युटर
systems,प्रणाली
three,तीन
total,कुल
place,ठाउँ
end,अन्त
following,निम्न
download,डाउनलोड
h,घन्टा
him,उहाँलाई
without,बिना
per,प्रति
access,पहुँच
think,लाग्छ
north,उत्तर
resources,स्रोतहरू
current,वर्तमान
posts,पोस्ट
big,ठूलो
media,मिडिया
law,कानुन
control,नियन्त्रण
water,पानी
history,इतिहास
pictures,तस्वीर
size,आकार
art,कला
personal,व्यक्तिगत
since,देखि
including,सहित
guide,पुस्तिका
shop,दोकान
directory,निर्देशिका
board,बोर्ड
location,स्थान
change,परिवर्तन
white,सेतो
text,पाठ
small,सानो
rating,दर्जा
rate,दर
government,सरकार
children,बच्चाहरु
during,समयमा
usa,संयुक्त राज्य अमेरिका
return,फर्किनु
students,विद्यार्थी
v,v
shopping,किनमेल
account,खाता
times,पटक
sites,साइटहरु
level,स्तर
digital,डिजिटल
profile,प्रोफाइल
previous,अघिल्लो
form,फारम
events,घटनाहरू
love,प्रेम
old,पुरानो
john,जन
main,मुख्य
call,कल
hours,घण्टा
image,छवि
department,विभाग
title,शीर्षक
description,विवरण
non,गैर
k,K
y,वाई
insurance,बीमा
another,अर्को
why,किन
shall,हुनेछ
property,सम्पत्ति
class,वर्ग
cd,सीडी
still,अझै पनि
money,पैसा
quality,गुणस्तर
every,हरेक
listing,सूची
content,सामग्री
country,देश
private,निजी
little,सानो
visit,यात्रा
save,सेव
tools,उपकरण
low,कम
reply,जवाफ
customer,ग्राहक
december,डिसेम्बर
compare,तुलना
movies,चलचित्र
include,समावेश
college,कलेज
value,मूल्य
article,लेख
york,योर्क
man,मानिस
card,कार्ड
jobs,जब
provide,प्रदान
j,जे
food,खाना
source,मुहान
author,लेखक
different,विभिन्न
press,प्रेस
u,यू
learn,सिक्न
sale,बिक्री
around,वरिपरि
print,प्रिन्ट
course,पाठ्यक्रम
job,काम
canada,क्यानाडा
process,प्रक्रिया
teen,किशोर
room,कोठा
stock,स्टक
training,प्रशिक्षण
too,धेरै
credit,क्रेडिट
point,बिन्दु
join,सामेल
science,विज्ञान
men,मानिसहरू
categories,विभाग
advanced,उन्नत
west,पश्चिम
sales,बिक्री
look,नजर
english,अंग्रेजी
left,बायाँ
team,टोली
estate,सम्पत्ति
box,बक्स
conditions,अवस्था
select,चयन
windows,Windows
photos,फोटो
gay,समलिङ्गी
thread,मुद्दा
week,हप्ता
category,वर्ग
note,नोट
live,प्रत्यक्ष
large,ठूलो
gallery,ग्यालरी
table,तालिका
register,दर्ता
however,तथापि
june,जुन
october,अक्टोबर
november,नोभेम्बर
market,बजार
library,पुस्तकालय
really,साँच्चै
action,कार्य
start,सुरु
series,श्रृंखला
model,मोडेल
features,विशेषताहरु
air,हावा
industry,उद्योग
plan,योजना
human,मानव
provided,प्रदान
tv,tV
yes,हो
required,आवश्यक
second,दोस्रो
hot,तातो
accessories,सामान
cost,लागत
movie,चलचित्र
forums,फोरम
march,मार्च
la,ला
september,सेप्टेम्बर
better,राम्रो
say,भन्नु
questions,प्रश्न
july,जुलाई
yahoo,Yahoo
going,जा
medical,चिकित्सा
test,परीक्षण
friend,मित्र
come,आउनुहोस्
dec,Dec
server,सर्भर
pc,पीसी
study,अध्ययन
application,आवेदन
cart,गाडी
staff,कर्मचारी
articles,लेख
san,सान
feedback,प्रतिक्रिया
again,फेरि
play,खेल्नु
looking,देख
issues,मुद्दाहरू
april,अप्रिल
never,कहिल्यै
users,प्रयोगकर्ता
complete,पूरा
street,सडक
topic,विषय
comment,टिप्पणी
financial,वित्तीय
things,कुरा
working,काम
against,विरुद्ध
standard,मानक
tax,कर
person,व्यक्ति
below,तल
mobile,मोबाइल
less,थोरै
got,नजिकै
blog,ब्लग
party,पार्टी
payment,भुक्तानी
equipment,उपकरण
login,लग - इन
student,विद्यार्थी
let,गरौं
programs,कार्यक्रम
offers,प्रस्ताव
legal,कानुनी
above,माथि
recent,हाल
park,पार्क
stores,स्टोर
side,पक्ष
act,कार्य
problem,समस्या
red,रातो
give,दिनु
memory,स्मृति
performance,प्रदर्शन
social,सामाजिक
q,Q
august,अगस्ट
quote,उद्धरण
language,भाषा
story,कथा
sell,बिक्री
options,विकल्पहरू
experience,अनुभव
rates,दर
create,सिर्जना
key,प्रमुख
body,जीउ
young,जवान
america,अमेरिका
important,महत्त्वपूर्ण
field,क्षेत्र
few,केही
east,पूर्व
paper,कागज
single,एकल
ii,द्वितीय
age,उमेर
activities,गतिविधिहरु
club,क्लब
example,उदाहरणका
girls,बालिका
additional,थप
password,पासवर्ड
z,Z
latest,नवीनतम
something,केही
road,सडक
gift,उपहार
question,प्रश्न
changes,परिवर्तनहरू
night,रात
ca,CA
hard,कडा
texas,टेक्सास
oct,अक्टोबर
pay,तलब
four,चार
poker,पोकर
status,स्थिति
browse,ब्राउज
issue,मुद्दा
range,सीमा
building,भवन
seller,विक्रेता
court,अदालत
february,फेब्रुअरी
always,सधैं
result,परिणाम
audio,अडियो
light,प्रकाश
write,लेख्ने
war,युद्ध
nov,नोभेम्बर
offer,प्रस्ताव
blue,नीलो
groups,समूह
al,अल
easy,सजिलो
given,दिइएको
files,फाइलहरू
event,घटना
release,जारी
analysis,विश्लेषण
request,अनुरोध
fax,फ्याक्स
china,चीन
making,बनाउने
picture,तस्वीर
needs,आवश्यकता
possible,सम्भव
might,सक्छ
professional,व्यावसायिक
yet,अझै
month,महिना
major,प्रमुख
star,तारा
areas,क्षेत्रहरु
future,भविष्यमा
space,ठाउँ
committee,समिति
hand,हात
sun,सूर्य
cards,कार्ड
problems,समस्या
london,लन्डन
washington,वाशिंगटन
meeting,बैठक
rss,RSS
become,बन्न
interest,चासो
id,आईडी
child,बच्चा
keep,राख्न
enter,प्रविष्ट
california,क्यालिफोर्निया
share,शेयर
similar,यस्तै
garden,बगैचा
schools,विद्यालय
million,लाख
added,थप
reference,सन्दर्भ
companies,कम्पनीहरु
listed,सूचीबद्ध
baby,बच्चा
learning,सिक्ने
energy,ऊर्जा
run,रन
delivery,वितरण
net,नेट
popular,लोकप्रिय
term,अवधि
film,फिलिम
stories,कथाहरू
put,राख्नु
computers,कम्प्युटर
journal,पत्रिका
reports,रिपोर्ट
co,सह
try,प्रयास
welcome,स्वागत
central,केन्द्रीय
images,तस्बिरहरू
president,राष्ट्रपति
notice,सूचना
original,मूल
head,टाउको
radio,रेडियो
until,सम्म
cell,सेल
color,रंग
self,आत्म
council,परिषद
away,टाढा
includes,समावेश
track,ट्र्याक
australia,अष्ट्रेलिया
discussion,छलफल
archive,संग्रह
once,एक पटक
others,अरूलाई
entertainment,मनोरञ्जन
agreement,सम्झौता
format,ढाँचा
least,कम से कम
society,समाज
months,महिना
log,लग
safety,सुरक्षा
friends,मित्र
sure,निश्चित
faq,FAQ
trade,व्यापार
edition,संस्करण
cars,कार
messages,सन्देशहरू
marketing,मार्केटिङ
tell,बताउन
further,थप
updated,अद्यावधिक
association,संघ
able,सक्षम
having,भइरहेको
provides,प्रदान
david,दाऊदले
fun,रमाइलो
already,पहिले नै
green,हरियो
studies,अध्ययन
close,नजिक
common,साधारण
drive,ड्राइभ
specific,विशिष्ट
several,धेरै
gold,सुन
feb,Feb
living,जीवित
sep,Sep
collection,संग्रह
called,भनिन्छ
short,छोटो
arts,कला
lot,धेरै
ask,सोध्नु
display,प्रदर्शन
limited,सीमित
powered,चालित
solutions,समाधान
means,माध्यम
director,निर्देशक
daily,दैनिक
beach,समुद्र तट
past,विगतका
natural,प्राकृतिक
whether,कि
due,कारण
et,एट
electronics,इलेक्ट्रनिक्स
five,पाँच
upon,मा
period,अवधि
planning,योजना
database,डेटाबेस
says,भन्छन्
official,सरकारी
weather,मौसम
mar,Mar
land,भूमि
average,औसत
done,सम्पन्न
technical,प्राविधिक
window,विन्डो
france,फ्रान्स
pro,समर्थक
region,क्षेत्र
island,द्वीप
record,रेकर्ड
direct,प्रत्यक्ष
microsoft,Microsoft
conference,सम्मेलन
environment,वातावरण
records,रेकर्ड
st,सेन्ट
district,जिल्ला
calendar,पात्रो
costs,लागत
style,शैली
url,URL
front,अगाडि
statement,बयान
update,अद्यावधिक
parts,भागहरु
aug,अगस्ट
ever,कहिल्यै
downloads,डाउनलोड
early,प्रारम्भिक
miles,माइल
sound,ध्वनि
resource,स्रोत
present,वर्तमान
applications,आवेदन
either,या त
ago,पहिले
document,कागजात
word,शब्द
works,काम
material,भौतिक
bill,बिल
apr,Apr
written,लिखित
talk,कुरा
federal,संघीय
hosting,सेवा प्रदायक
rules,नियम
final,अन्तिम
adult,वयस्क
tickets,टिकट
thing,कुरा
centre,केन्द्र
requirements,आवश्यकताहरु
via,मार्फत
cheap,सस्तो
kids,बच्चाहरु
finance,वित्त
TRUE,साँचो
minutes,मिनेट
else,अरू
mark,मार्क
third,तेस्रो
rock,रक
gifts,उपहार
europe,युरोप
reading,पढाइ
topics,शीर्षकहरू
bad,खराब
individual,व्यक्तिगत
tips,सुझाव
plus,प्लस
auto,स्वतः
cover,आवरण
usually,सामान्यतया
edit,सम्पादन
together,सँगै
videos,भिडियो
percent,प्रतिशत
fast,छिटो
function,समारोह
fact,वास्तवमा
unit,एकाइ
getting,प्राप्त
global,वैश्विक
tech,प्रविधी
meet,मिलन
far,टाढा
economic,आर्थिक
en,एन
player,खेलाडी
projects,परियोजनाहरू
lyrics,गीत
often,अक्सर
subscribe,सदस्यता
submit,पेश
germany,जर्मनी
amount,रकम
watch,हेर्ने
included,समावेश
feel,महसुस
though,हुनत
bank,बैंक
risk,जोखिम
thanks,धन्यवाद
everything,सबै
deals,सम्झौताहरू
various,विभिन्न
words,शब्द
linux,लिनक्स
jul,Jul
production,उत्पादन
commercial,व्यावसायिक
james,जेम्स
weight,वजन
town,शहर
heart,मुटु
advertising,विज्ञापन
received,प्राप्त
choose,छनौट
treatment,उपचार
newsletter,समाचार पत्र
archives,अभिलेख
points,अंक
knowledge,ज्ञान
magazine,पत्रिका
error,त्रुटि
camera,क्यामेरा
jun,Jun
girl,केटी
currently,हाल
construction,निर्माण
toys,खिलौने
registered,दर्ता
clear,स्पष्ट
golf,गल्फ
receive,प्राप्त
domain,डोमेन
methods,विधिहरू
chapter,अध्याय
makes,बनाउछ
protection,सुरक्षा
policies,नीतिहरू
loan,ऋण
wide,विस्तृत
beauty,सौन्दर्य
manager,प्रबन्धक
india,भारत
position,स्थिति
taken,लिएको
sort,क्रमबद्ध
listings,सूचीकरण
models,मोडेल
michael,माइकल
known,ज्ञात
half,आधा
cases,अवस्थामा
step,चरण
engineering,ईन्जिनियरिङ्
florida,फ्लोरिडा
simple,सरल
quick,द्रुत
none,कुनै पनि
wireless,वायरलेस
license,लाइसेन्स
paul,पल
friday,शुक्रबार
lake,ताल
whole,सारा
annual,वार्षिक
published,प्रकाशित
later,पछि
basic,आधारभूत
sony,सोनी
shows,शो
corporate,कर्पोरेट
google,गूगल
church,चर्च
method,विधि
purchase,खरिद
customers,ग्राहकहरु
active,सक्रिय
response,प्रतिक्रिया
practice,अभ्यास
hardware,हार्डवेयर
figure,आंकडा
materials,सामाग्री
fire,आगो
holiday,छुट्टी
chat,कुराकानी
enough,पर्याप्त
designed,डिजाइन
along,साथ
among,बीचमा
death,मृत्यु
writing,लेखन
speed,गति
html,HTML
countries,देशहरूमा
loss,हानि
face,अनुहार
brand,ब्रान्ड
discount,छुट
higher,उच्च
effects,प्रभाव
created,सिर्जना
remember,सम्झनु
standards,स्तर
oil,तेल
bit,बिट
yellow,पहेंलो
political,राजनीतिक
increase,बढ्नु
advertise,विज्ञापन
kingdom,राज्य
base,आधार
near,नजिकै
environmental,पर्यावरण
thought,विचार
stuff,सामान
french,फ्रान्सेली
storage,भण्डारण
oh,ओह
japan,जापान
doing,गरिरहेको
loans,ऋण
shoes,जूता
entry,प्रवेश
stay,बसाइ
nature,प्रकृति
orders,आदेश
availability,उपलब्धता
africa,अफ्रीका
summary,सारांश
turn,बारी
mean,अर्थ
growth,वृद्धि
notes,टिप्पणीहरू
agency,एजेन्सी
king,राजा
monday,सोमवार
european,युरोपेली
activity,गतिविधि
copy,कापी
although,हुनत
drug,औषधि
pics,pics
western,पश्चिमी
income,आय
force,शक्ति
cash,नगद
employment,रोजगार
overall,कुल मिलाएर
bay,खाडी
river,नदी
commission,आयोग
ad,विज्ञापन
package,प्याकेज
contents,सामग्रीहरू
seen,देखेको
players,खेलाडीहरू
engine,इन्जिन
port,पोर्ट
album,एल्बम
regional,क्षेत्रीय
stop,रोक
supplies,आपूर्ति
started,सुरु
administration,प्रशासन
bar,बार
institute,संस्थान
views,दृश्य
plans,योजना
double,डबल
dog,कुकुर
build,गठन
screen,स्क्रिन
exchange,विनिमय
types,प्रकार
soon,चाँडै
sponsored,प्रायोजित
lines,रेखा
electronic,इलेक्ट्रोनिक
continue,जारी
across,मार्फत
benefits,लाभ
needed,आवश्यक
season,सिजन
apply,निवेदन गर्नु
someone,कसैले
held,आयोजित
ny,NY
anything,केहि
printer,मुद्रक
condition,अवस्था
effective,प्रभावकारी
believe,विश्वास
organization,संगठन
effect,असर
asked,सोधे
eur,युरो
mind,मन
sunday,आइतबार
selection,चयन
casino,क्यासिनो
pdf,PDF
lost,हराएको
tour,भ्रमण
menu,मेनु
volume,मात्रा
cross,पार
anyone,जो कोहीले
mortgage,बंधक
hope,आशा
silver,चाँदी
corporation,निगम
wish,इच्छा
inside,भित्र
solution,समाधान
mature,परिपक्व
role,भूमिका
rather,बरु
weeks,सप्ताह
addition,साथै
came,आए
supply,आपूर्ति
nothing,केही
certain,केही
usr,usr
executive,कार्यकारी
running,चलिरहेको
lower,कम
necessary,आवश्यक
union,संघ
jewelry,आभूषण
according,अनुसार
dc,डीसी
clothing,वस्त्र
mon,Mon
com,com
particular,विशेष
fine,ठीक
names,नाम
robert,रबर्ट
homepage,होमपेज
hour,घण्टा
gas,ग्याँस
skills,कौशल
six,छ
bush,झाडी
islands,द्वीप
advice,सल्लाह
career,क्यारियर
military,सैन्य
rental,भाडा
decision,निर्णय
leave,छोड
british,बेलायती
teens,किशोर
pre,पूर्व
huge,विशाल
sat,Sat
woman,महिला
facilities,सुविधा
zip,जिप
bid,बोली
kind,दयालु
sellers,विक्रेता
middle,मध्य
move,चल्नु
cable,केबल
opportunities,अवसर
taking,लिनुभएको
values,मान
division,विभाजन
coming,आउँदै
tuesday,मंगलवार
object,वस्तु
lesbian,लेसबियन
appropriate,उपयुक्त
machine,मिसिन
logo,लोगो
length,लम्बाइ
actually,वास्तवमा
nice,राम्रो
score,स्कोर
statistics,तथ्याङ्क
client,ग्राहक
ok,ठिक छ
returns,लाभ
capital,राजधानी
follow,पछ्याउन
sample,नमूना
investment,लगानी
sent,SENT
shown,देखाइएको
saturday,शनिबार
christmas,क्रिसमस
england,इङ्गल्याण्ड
culture,संस्कृति
band,ब्यान्ड
flash,फ्लैश
ms,सुश्री
lead,नेतृत्व
george,जर्ज
choice,विकल्प
went,गए
starting,सुरु
registration,दर्ता
fri,शुक्र
thursday,बिहीबार
courses,पाठ्यक्रम
consumer,उपभोक्ता
hi,नमस्ते
airport,विमानस्थल
foreign,विदेशी
artist,कलाकार
outside,बाहिर
furniture,फर्नीचर
levels,स्तर
channel,च्यानल
letter,पत्र
mode,मोड
phones,फोन
ideas,विचार
wednesday,बुधवार
structure,संरचना
fund,कोष
summer,गर्मी
allow,अनुमति
degree,डिग्री
contract,सम्झौता
button,टांक
releases,विज्ञप्ति
wed,Wed
homes,घरमा
super,सुपर
male,पुरुष
matter,कुरा
custom,अनुकूलन
virginia,भर्जिनिया
almost,लगभग
took,लिनुभयो
located,स्थित
multiple,धेरै
asian,एशियाली
distribution,वितरण
editor,सम्पादक
inn,Inn
industrial,औद्योगिक
cause,कारण
potential,सम्भावित
song,गीत
cnet,CNET
ltd,लि
los,लस
hp,HP
focus,ध्यान
late,लेट
fall,गिर
featured,विशेष
idea,विचार
rooms,कोठा
female,महिला
responsible,जिम्मेवार
inc,इंक
communications,संचार
win,जीत
associated,सम्बद्ध
thomas,थमस
primary,प्राथमिक
cancer,क्यान्सर
numbers,संख्या
reason,कारण
tool,उपकरण
browser,ब्राउजर
spring,वसन्त
foundation,जग
answer,जवाफ
voice,आवाज
eg,जस्तै
friendly,मैत्री
schedule,तालिका
documents,कागजातहरू
communication,संचार
purpose,उद्देश्य
feature,सुविधा
bed,ओछ्यानमा
comes,आउँछ
police,प्रहरी
everyone,सबैलाई
independent,स्वतन्त्र
ip,आईपी
approach,दृष्टिकोण
cameras,क्यामेरा
brown,खैरो
physical,शारीरिक
operating,सञ्चालन
hill,पहाडी
maps,नक्सा
medicine,औषधी
deal,सम्झौता
hold,पकड
ratings,मूल्यांकन
chicago,शिकागो
forms,फाराम
glass,ग्लास
happy,खुसी
tue,मंगल
smith,स्मिथ
wanted,चाहन्थे
developed,विकास
thank,धन्यवाद
safe,सुरक्षित
unique,अद्वितीय
survey,सर्वेक्षण
prior,पूर्व
telephone,टेलिफोन
sport,खेल
ready,तयार
feed,फिड
animal,पशु
sources,स्रोतहरू
mexico,मेक्सिको
population,जनसंख्या
pa,PA
regular,नियमित
secure,सुरक्षित
navigation,नेभिगेसन
operations,अपरेसन
therefore,त्यसैले
simply,बस
evidence,प्रमाण
station,स्टेशन
christian,क्रिश्चियन
round,गोलो
paypal,PayPal
favorite,मनपर्ने
understand,बुझ्न
option,विकल्प
master,मास्टर
valley,उपत्यका
recently,हालै
probably,शायद
thu,गुरु
rentals,भाडा
sea,समुद्र
built,निर्माण
publications,प्रकाशनहरू
blood,रगत
cut,कट
worldwide,विश्वव्यापी
improve,सुधार
connection,जडान
publisher,प्रकाशक
hall,हल
larger,ठूलो
anti,विरोधी
networks,नेटवर्क
earth,पृथ्वी
parents,आमाबाबुले
nokia,Nokia
impact,प्रभाव
transfer,स्थानान्तरण
introduction,परिचय
kitchen,भान्सा
strong,बलियो
tel,टेलिफोन
carolina,कैरोलिना
wedding,विवाह
properties,गुण
hospital,अस्पताल
ground,जमीन
overview,सिंहावलोकन
ship,जहाज
accommodation,आवास
owners,मालिक
disease,रोग
tx,TX
excellent,उत्कृष्ट
paid,भुक्तानी
italy,इटाली
perfect,सिद्ध
hair,बाल
opportunity,मौका
kit,किरा
classic,क्लासिक
basis,आधार
command,आदेश
cities,शहर
william,विलियम
express,एक्सप्रेस
award,पुरस्कार
distance,दूरी
tree,रूख
peter,पत्रुस
assessment,मूल्यांकन
ensure,पक्का गर्नु
thus,यसरी
wall,पर्खाल
ie,अर्थात्
involved,मुछिनुभएको
el,एल
extra,अतिरिक्त
especially,विशेष गरी
interface,इन्टरफेस
partners,साझेदार
budget,बजेट
rated,मूल्याङ्कन
guides,गाइड
success,सफलता
maximum,अधिकतम
ma,MA
operation,सञ्चालन
existing,अवस्थित
quite,एकदम
selected,चयन
boy,केटा
amazon,अमेजन
patients,विरामीहरु
restaurants,रेस्टुरेन्ट
beautiful,सुन्दर
warning,चेतावनी
wine,रक्सी
locations,स्थानहरू
horse,घोडा
vote,मत
forward,अगाडि
flowers,फूल
stars,तारा
significant,महत्वपूर्ण
lists,सूची
technologies,प्रविधिहरू
owner,मालिक
retail,खुद्रा
animals,जनावर
useful,उपयोगी
directly,सीधा
manufacturer,निर्माता
ways,तरिका
est,Est
son,छोरा
providing,प्रदान
rule,नियम
mac,म्याक
housing,आवास
takes,लाग्छ
iii,III
gmt,GMT
bring,ल्याउन
catalog,सूची
searches,खोजहरू
max,अधिकतम
trying,प्रयास
mother,आमा
authority,अख्तियार
considered,छलफल
told,भन्नुभयो
xml,XML
traffic,यातायात
programme,कार्यक्रम
joined,सामेल
input,इनपुट
strategy,रणनीति
feet,खुट्टा
agent,एजेन्ट
valid,मान्य
bin,बिन
modern,आधुनिक
senior,वरिष्ठ
ireland,आयरल्याण्ड
teaching,शिक्षा
door,ढोका
grand,महान्
testing,परीक्षण
trial,परीक्षण
charge,शुल्क
units,एकाइहरु
instead,सट्टा
canadian,क्यानाडा
cool,सुन्दर
normal,सामान्य
wrote,यस्तो लेखे
enterprise,उद्यम
ships,जहाज
entire,सम्पूर्ण
educational,शैक्षिक
md,एमडी
leading,प्रमुख
metal,धातु
positive,सकारात्मक
fl,FL
fitness,फिटनेस
chinese,चिनियाँ
opinion,राय
mb,एमबी
asia,एशिया
football,फुटबल
abstract,अमूर्त
uses,उपयोगहरु
output,उत्पादन
funds,धन
mr,श्री
greater,ठूलो
likely,सम्भवतः
develop,विकास
employees,कर्मचारीहरु
artists,कलाकार
alternative,वैकल्पिक
processing,प्रशोधन
responsibility,जिम्मेवारी
resolution,संकल्प
java,Java
guest,अतिथि
seems,देखिन्छ
publication,प्रकाशन
pass,पारित
relations,सम्बन्ध
trust,भरोसा
van,वैन
contains,समावेश
session,सत्र
multi,बहु
photography,फोटोग्राफी
republic,गणतन्त्र
fees,शुल्क
components,घटक
vacation,छुट्टी
century,सताब्दी
academic,शैक्षिक
assistance,सहायताको
completed,पूरा
skin,छाला
graphics,ग्राफिक्स
indian,भारतीय
prev,पछिल्लो
ads,विज्ञापन
mary,मरियम
il,आईएल
expected,अपेक्षा
ring,घन्टी
grade,ग्रेड
dating,डेटिंग
pacific,प्रशान्त
mountain,पर्वत
organizations,संगठन
pop,पप
filter,फिल्टर
mailing,पत्राचार
vehicle,वाहन
longer,अब
consider,विचार
int,int
northern,उत्तरी
behind,पछि
panel,प्यानल
floor,तल्ला
german,जर्मन
buying,खरीद
match,मेल
proposed,प्रस्तावित
default,पूर्वनिर्धारित
require,आवश्यक
iraq,इराक
boys,केटाहरू
outdoor,आउटडोर
deep,गहिरो
morning,बिहान
otherwise,अन्यथा
allows,अनुमति दिन्छ
rest,आराम
protein,प्रोटिन
plant,बोट
reported,रिपोर्ट
hit,हिट
transportation,यातायात
mm,मिमी
pool,पूल
mini,मिनी
politics,राजनीति
partner,साथी
disclaimer,त्याग
authors,लेखक
boards,बोर्डहरू
faculty,संकाय
parties,दलहरू
fish,माछा
membership,सदस्यता
mission,मिसन
eye,आँखा
string,स्ट्रिङ
sense,अर्थमा
modified,संशोधित
pack,प्याक
released,जारी
stage,चरण
internal,आन्तरिक
goods,सामान
recommended,सिफारिस
born,जन्म
unless,जबसम्म
richard,रिचर्ड
detailed,विस्तृत
japanese,जापानी
race,दौड
approved,अनुमोदित
background,पृष्ठभूमि
target,लक्ष्य
except,बाहेक
character,वर्ण
usb,USB
maintenance,मर्मतका
ability,क्षमता
maybe,हुनसक्छ
functions,कार्य
ed,एड
moving,सार्दा
brands,ब्रान्डहरु
places,स्थानहरू
php,PHP
pretty,राम्रो
trademarks,ट्रेडमार्क
phentermine,phentermine
spain,स्पेन
southern,दक्षिणी
yourself,आफैलाई
etc,आदि
winter,जाडो
battery,ब्याट्री
youth,युवा
pressure,दबाब
submitted,पेश
boston,बोस्टन
debt,ऋण
keywords,किवर्ड
medium,मध्यम
television,टेलिभिजन
interested,रुचि
core,कोर
break,ब्रेक
purposes,उद्देश्यको
throughout,अवधिभर
sets,सेट
dance,नृत्य
wood,काठ
